Produit,Prix,IDprix,Bouton
Offre de No‰l : Massage femme enceinte + massage post partum,"150,00 ?",price_1SJrfgCm8TYzw7cAVeBMPvXh,<script async
,,,"  src=""https://js.stripe.com/v3/buy-button.js"">"
,,,</script>
,,,
,,,<stripe-buy-button
,,,"  buy-button-id=""buy_btn_1SJt5ZCm8TYzw7cADMTcEboB"""
,,,"  publishable-key=""pk_live_51RngTlCm8TYzw7cAg4DHZDf8Ekwjip4lNtC4vd2xaNBxYa5ayMJJmXlSN90FQN1RsITW0OCftaRgy3fsIZ8zzWRr00lM3lDBnn"""
,,,>
,,,</stripe-buy-button>
Offre de No‰l: Soin rebozo + massage post partum,"155,00 ?",price_1SJra0Cm8TYzw7cA8Z3Cncxf,<script async
,,,"  src=""https://js.stripe.com/v3/buy-button.js"">"
,,,</script>
,,,
,,,<stripe-buy-button
,,,"  buy-button-id=""buy_btn_1SJt92Cm8TYzw7cACUIPM8xk"""
,,,"  publishable-key=""pk_live_51RngTlCm8TYzw7cAg4DHZDf8Ekwjip4lNtC4vd2xaNBxYa5ayMJJmXlSN90FQN1RsITW0OCftaRgy3fsIZ8zzWRr00lM3lDBnn"""
,,,>
,,,</stripe-buy-button>
Offre de No‰l : Bain + Soin rebozo,"150,00 ?",price_1SJrWmCm8TYzw7cAi7TedF1f,<script async
,,,"  src=""https://js.stripe.com/v3/buy-button.js"">"
,,,</script>
,,,
,,,<stripe-buy-button
,,,"  buy-button-id=""buy_btn_1SJtAiCm8TYzw7cAwDrCkznF"""
,,,"  publishable-key=""pk_live_51RngTlCm8TYzw7cAg4DHZDf8Ekwjip4lNtC4vd2xaNBxYa5ayMJJmXlSN90FQN1RsITW0OCftaRgy3fsIZ8zzWRr00lM3lDBnn"""
,,,>
,,,</stripe-buy-button>
Offre de No‰l: Bain + massage femme enceinte ou post partum,"135,00 ?",price_1SJrVaCm8TYzw7cAz6BiJsSG,<script async
,,,"  src=""https://js.stripe.com/v3/buy-button.js"">"
,,,</script>
,,,
,,,<stripe-buy-button
